Sample Number;X;Y;NI
563;758762.00;1237050.00;50.00
564;758562.00;1237050.00;30.00
565;759016.00;1237550.00;30.00
566;759066.00;1237600.00;30.00
567;759317.00;1237800.00;50.00
568;759368.00;1237850.00;50.00
569;759367.00;1237700.00;50.00
570;759669.00;1238100.00;30.00
571;759519.00;1238050.00;30.00
572;759920.00;1238250.00;30.00
573;760272.00;1238500.00;50.00
574;760272.00;1238450.00;50.00
575;760626.00;1239100.00;30.00
576;760978.00;1239450.00;30.00
577;762946.00;1225700.00;70.00
578;763244.00;1225450.00;70.00
579;763845.00;1225550.00;70.00
580;763495.00;1225500.00;150.00
581;764298.00;1226000.00;70.00
582;764299.00;1226200.00;70.00
583;766709.00;1227500.00;70.00
584;766858.00;1227450.00;50.00
585;766608.00;1227450.00;1500.00
586;766005.00;1227000.00;30.00
587;766105.00;1227000.00;150.00
588;765803.00;1226600.00;100.00
589;765802.00;1226550.00;150.00
590;764699.00;1226050.00;50.00
591;764699.00;1226150.00;150.00
592;766501.00;1226250.00;20.00
593;766500.00;1226150.00;100.00
594;763686.00;1224000.00;30.00
595;732197.00;1235920.00;20.00
596;732187.00;1236060.00;10.00
597;732203.00;1236170.00;10.00
598;732129.00;1236290.00;15.00
599;732029.00;1236290.00;15.00
600;731849.00;1236330.00;10.00
601;731689.00;1236390.00;15.00
602;731629.00;1236450.00;15.00
603;731639.00;1236460.00;15.00
604;731670.00;1236530.00;7.00
605;731690.00;1236510.00;10.00
606;731720.00;1236530.00;10.00
607;731740.00;1236560.00;10.00
608;731811.00;1236730.00;5.00
609;731791.00;1236740.00;15.00
610;731671.00;1236750.00;10.00
611;731623.00;1236970.00;7.00
612;731563.00;1237120.00;10.00
613;731584.00;1237200.00;10.00
614;731530.00;1236550.00;10.00
615;731540.00;1236570.00;10.00
616;731470.00;1236630.00;10.00
617;731431.00;1236775.00;10.00
618;731445.00;1236610.00;10.00
619;731440.00;1236590.00;10.00
620;731360.00;1236550.00;7.00
621;731385.00;1236570.00;10.00
622;731350.00;1236630.00;10.00
623;732351.00;1236620.00;5.00
624;732357.00;1236710.00;7.00
625;732452.00;1236830.00;70.00
626;732453.00;1236930.00;15.00
627;732383.00;1236910.00;15.00
628;732213.00;1237020.00;10.00
629;732063.00;1237020.00;10.00
630;732063.00;1237010.00;10.00
631;731993.00;1236980.00;15.00
632;732012.00;1239990.00;15.00
633;731943.00;1237010.00;15.00
634;731943.00;1237030.00;15.00
635;731883.00;1237030.00;20.00
636;731893.00;1237060.00;15.00
637;730918.00;1234770.00;15.00
638;732165.00;1235600.00;3.00
639;732014.00;1235570.00;3.00
640;731884.00;1235600.00;3.00
641;731794.00;1235610.00;3.00
642;731744.00;1235600.00;3.00
643;731654.00;1235580.00;3.00
644;731614.00;1235570.00;3.00
645;731474.00;1235530.00;3.00
646;731334.00;1235550.00;3.00
647;731234.00;1235600.00;3.00
672;730301.00;1235260.00;3.00
679;731858.00;1237900.00;10.00
680;731668.00;1237840.00;3.00
681;731678.00;1237860.00;10.00
682;731728.00;1237850.00;20.00
683;731708.00;1237840.00;20.00
684;731718.00;1237800.00;20.00
685;731698.00;1237800.00;10.00
686;732663.00;1215500.00;70.00
687;771572.00;1221100.00;50.00
688;771672.00;1221100.00;50.00
689;772379.00;1222150.00;50.00
690;772479.00;1222150.00;50.00
691;772529.00;1222150.00;50.00
692;773232.00;1222600.00;50.00
693;773333.00;1222750.00;50.00
694;773884.00;1222800.00;30.00
695;773684.00;1222900.00;50.00
696;774236.00;1223100.00;50.00
697;775286.00;1223100.00;20.00
698;774437.00;1223250.00;30.00
699;774736.00;1223150.00;30.00
700;775138.00;1223400.00;30.00
701;775139.00;1223550.00;30.00
702;775991.00;1223800.00;30.00
703;776693.00;1224100.00;30.00
704;777445.00;1224400.00;30.00
705;777448.00;1224900.00;20.00
706;778053.00;1225600.00;20.00
707;778054.00;1225900.00;20.00
708;779208.00;1226350.00;30.00
709;778358.00;1226400.00;20.00
710;778359.00;1226600.00;30.00
711;782271.00;1228300.00;20.00
712;782171.00;1228350.00;20.00
713;782169.00;1227950.00;20.00
714;781716.00;1227500.00;30.00
715;781414.00;1227200.00;20.00
716;781311.00;1226700.00;20.00
717;781211.00;1226750.00;30.00
718;780908.00;1226250.00;30.00
719;780555.00;1225900.00;30.00
720;780605.00;1225750.00;20.00
721;785576.00;1237100.00;30.00
722;785576.00;1237200.00;30.00
723;786070.00;1236100.00;20.00
724;786170.00;1236100.00;30.00
725;786121.00;1236350.00;20.00
726;786317.00;1235700.00;20.00
727;786267.00;1235600.00;30.00
728;786210.00;1234500.00;50.00
729;786360.00;1234550.00;30.00
730;786203.00;1233400.00;30.00
731;786453.00;1233350.00;30.00
732;786201.00;1233050.00;30.00
733;786200.00;1232900.00;30.00
734;786048.00;1232550.00;30.00
735;780960.00;1234750.00;30.00
736;780960.00;1234750.00;30.00
737;780259.00;1234650.00;20.00
738;779711.00;1235000.00;30.00
739;779012.00;1235300.00;30.00
740;782034.00;1230450.00;20.00
741;780933.00;1230400.00;20.00
742;780782.00;1230200.00;20.00
743;780184.00;1230650.00;30.00
744;779334.00;1230750.00;20.00
745;778336.00;1231100.00;20.00
746;787017.00;1235650.00;20.00
747;787016.00;1235500.00;30.00
748;787664.00;1235050.00;30.00
749;787513.00;1234900.00;30.00
750;787958.00;1234050.00;30.00
751;788110.00;1234400.00;30.00
752;788209.00;1234250.00;30.00
753;786781.00;1237850.00;50.00
754;786781.00;1237800.00;50.00
755;787381.00;1237800.00;50.00
756;787381.00;1237850.00;70.00
757;787684.00;1238350.00;70.00
758;787685.00;1238450.00;70.00
759;788184.00;1238350.00;70.00
760;788184.00;1238300.00;70.00
761;733095.00;1237200.00;15.00
762;733075.00;1237190.00;15.00
763;732978.00;1237660.00;15.00
764;732979.00;1237760.00;15.00
765;732989.00;1237760.00;15.00
766;733280.00;1237890.00;15.00
767;733533.00;1238360.00;15.00
768;733513.00;1238380.00;15.00
769;733484.00;1238520.00;15.00
770;733474.00;1238540.00;15.00
771;733597.00;1239040.00;15.00
772;733577.00;1239040.00;15.00
773;733457.00;1239120.00;15.00
774;733457.00;1239100.00;7.00
775;733408.00;1239300.00;7.00
776;733398.00;1239290.00;10.00
777;733128.00;1239300.00;5.00
778;733148.00;1239310.00;7.00
779;733069.00;1239520.00;7.00
780;733059.00;1239480.00;7.00
781;733029.00;1239480.00;7.00
782;732820.00;1239560.00;7.00
783;732789.00;1239560.00;7.00
784;732380.00;1239620.00;5.00
785;732069.00;1239570.00;5.00
786;732069.00;1239550.00;7.00
787;731890.00;1239740.00;7.00
788;731870.00;1239830.00;5.00
789;731821.00;1239860.00;5.00
790;731810.00;1239850.00;7.00
791;731751.00;1239870.00;7.00
792;731761.00;1239880.00;7.00
793;731101.00;1233460.00;50.00
794;731111.00;1233480.00;70.00
795;731100.00;1233410.00;70.00
796;730820.00;1233410.00;70.00
797;731230.00;1233360.00;20.00
798;731260.00;1233380.00;20.00
799;731389.00;1233100.00;30.00
800;731398.00;1233010.00;30.00
801;731418.00;1233010.00;30.00
802;731538.00;1232950.00;30.00
803;731538.00;1232980.00;30.00
804;731698.00;1232980.00;30.00
805;731728.00;1232950.00;20.00
806;731748.00;1232930.00;30.00
807;731768.00;1232890.00;30.00
808;731751.00;1231870.00;50.00
809;731777.00;1232780.00;30.00
810;731811.00;1232580.00;30.00
811;731786.00;1232570.00;20.00
812;731924.00;1232330.00;30.00
813;731934.00;1232325.00;30.00
814;731924.00;1232190.00;70.00
815;731793.00;1232160.00;20.00
816;731803.00;1232090.00;70.00
817;731731.00;1231860.00;30.00
818;731751.00;1231860.00;70.00
819;731890.00;1231610.00;100.00
820;731880.00;1231600.00;100.00
821;735101.00;1236200.00;30.00
822;735071.00;1236260.00;20.00
823;735212.00;1236400.00;30.00
824;735272.00;1236450.00;30.00
825;735264.00;1236750.00;10.00
826;735345.00;1236950.00;20.00
827;735365.00;1236950.00;20.00
828;734340.00;1237050.00;15.00
829;735426.00;1237060.00;30.00
830;735507.00;1237120.00;30.00
831;735527.00;1237120.00;15.00
832;735678.00;1237360.00;15.00
833;735678.00;1237350.00;30.00
834;735568.00;1237410.00;30.00
835;735588.00;1237400.00;100.00
836;735651.00;1237750.00;30.00
837;735661.00;1237760.00;50.00
838;735741.00;1237820.00;50.00
839;735792.00;1237980.00;50.00
840;735772.00;1237990.00;100.00
841;735754.00;1238280.00;15.00
842;735754.00;1238280.00;100.00
843;735645.00;1238430.00;15.00
844;735645.00;1238400.00;100.00
845;735753.00;1238130.00;5.00
846;735783.00;1238140.00;100.00
847;735614.00;1238380.00;30.00
848;735615.00;1238390.00;70.00
849;735424.00;1238390.00;100.00
850;735404.00;1238380.00;30.00
851;735374.00;1238330.00;3.00
852;735334.00;1238330.00;10.00
853;735345.00;1238450.00;100.00
854;735355.00;1238450.00;70.00
855;735294.00;1238320.00;10.00
856;735294.00;1238300.00;15.00
857;735173.00;1238250.00;30.00
858;735193.00;1238230.00;20.00
859;734244.00;1236900.00;70.00
860;734845.00;1236880.00;100.00
861;734744.00;1236840.00;70.00
862;734744.00;1236860.00;70.00
863;734665.00;1236900.00;30.00
864;734645.00;1236940.00;100.00
865;734645.00;1236930.00;70.00
866;735257.00;1238820.00;15.00
867;735247.00;1238800.00;15.00
868;735207.00;1238770.00;70.00
869;735207.00;1238800.00;70.00
870;735116.00;1238680.00;70.00
871;735126.00;1238700.00;20.00
872;735116.00;1238650.00;30.00
873;735126.00;1238650.00;20.00
874;735115.00;1238580.00;30.00
875;735125.00;1238570.00;30.00
876;735467.00;1237150.00;50.00
877;735477.00;1237180.00;30.00
878;734959.00;1237500.00;50.00
